# Mənbə: GeoNames (https://www.geonames.org) cities15000 — CC BY 4.0.
# Sütunlar: ad<TAB>qatlanmış adlar (|)<TAB>ölkə<TAB>enlik<TAB>uzunluq<TAB>hündürlük(m)
# Sıra ƏHALİYƏ görə azalandır — axtarış böyük şəhərləri əvvəl qaytarsın deyə;
# bu, ayrıca əhali sütunu saxlamağı lazımsız edir.
Surat	surat	IN	21.196	72.830	20
Yangzhou	yangzhou|inciu|yanchzhou	CN	32.397	119.436	14
Huai'an	huai an|huayan	CN	33.589	119.019	14
Yangon	yangon|yanqon	MM	16.805	96.156	30
Bao'an	bao an	CN	22.552	113.883	0
Kabul	kabul|kabil	AF	34.528	69.172	1798
Nairobi	nairobi|nayrobi	KE	-1.283	36.817	1684
Wuxi	wuxi|usi	CN	31.569	120.289	10
Giza	giza	EG	30.009	31.209	19
Lanzhou	lanzhou|lancjou|lanchzhou	CN	36.057	103.840	1521
Bamako	bamako	ML	12.609	-7.975	374
Riyadh	riyadh|er riyad|riyad	SA	24.688	46.722	612
Ürümqi	urumqi|ueruemqi|urumci|urumchi	CN	43.801	87.600	862
New Taipei City	new taipei city|yeni taipei|noviy taybey	TW	25.062	121.457	4
New Territories	new territories	HK	22.424	114.111	231
Chattogram	chattogram|cittaqonq|chittagong	BD	22.338	91.832	15
Addis Ababa	addis ababa|eddis ebebe|addis abeba	ET	9.025	38.747	2405
Zaozhuang	zaozhuang|tszaochzhuan	CN	34.865	117.554	79
Zhongshan	zhongshan|chzhunshan	CN	22.523	113.379	9
Shantou	shantou	CN	23.355	116.679	3
Los Angeles	los angeles|los anceles|los andzheles	US	34.052	-118.244	89
Faisalabad	faisalabad|feyselabad|feysalabad	PK	31.416	73.090	186
Dubai	dubai|dubay	AE	25.077	55.309	24
Yokohama	yokohama|iokogama	JP	35.433	139.650	21
Ningbo	ningbo|ninbo	CN	29.878	121.549	15
Nanhai	nanhai	CN	23.022	113.143	2
Casablanca	casablanca|kasablanka|dar ul beyda	MA	33.588	-7.611	27
Ibadan	ibadan	NG	7.378	3.906	181
Puyang	puyang	CN	29.457	119.889	76
Ankara	ankara	TR	39.920	32.854	850
Chengde	chengde|chende	CN	40.952	117.959	318
Shiyan	shiyan	CN	32.648	110.778	247
Hohhot	hohhot|hoxhot|huhhot|huh hoto	CN	40.811	111.652	1051
Berlin	berlin	DE	52.524	13.411	74
Tangshan	tangshan|tanshan	CN	39.644	118.183	7
Rawalpindi	rawalpindi|ravalpindi	PK	33.597	73.048	501
Lüliang	luliang|lueliang	CN	37.519	111.144	959
Durban	durban	ZA	-29.858	31.029	21
Anshan	anshan	CN	41.124	122.990	55
Changzhou	changzhou|chanchzhou	CN	31.774	119.954	9
Busan	busan|pusan	KR	35.102	129.030	15
Madrid	madrid	ES	40.416	-3.703	665
Pyongyang	pyongyang|pxenyan|phenyan	KP	39.034	125.754	43
Pune	pune|puna	IN	18.520	73.855	554
Datong	datong	CN	40.094	113.291	1054
Bursa	bursa	TR	40.196	29.060	155
Changsha	changsha|cangsa|chansha	CN	28.199	112.971	67
Quezon City	quezon city|keson siti	PH	14.649	121.051	49
Jaipur	jaipur|caypur|dzhaypur	IN	26.920	75.788	435
Huainan	huainan	CN	32.626	116.997	47
Surabaya	surabaya	ID	-7.249	112.751	8
Incheon	incheon|incxon|inchhon	KR	37.456	126.705	43
Haikou	haikou|haykou	CN	20.034	110.347	9
Caracas	caracas|karakas	VE	10.488	-66.879	887
Kyiv	kyiv|kiyev|kiev	UA	50.455	30.524	187
İzmir	izmir	TR	38.413	27.138	122
Huizhou	huizhou|hueychzhou	CN	23.111	114.415	25
Buenos Aires	buenos aires|buenos ayres	AR	-34.613	-58.377	31
Yinchuan	yinchuan|inchuan	CN	38.468	106.273	1117
Taichung	taichung|taychzhun	TW	24.147	120.684	91
Kanpur	kanpur	IN	26.465	80.350	137
Toronto	toronto	CA	43.706	-79.399	161
Quito	quito|kito	EC	-0.230	-78.525	2854
Brisbane	brisbane|brisben	AU	-27.468	153.028	27
Luanda	luanda	AO	-8.837	13.234	73
Baotou	baotou	CN	40.652	109.844	1064
Osaka	osaka	JP	34.694	135.501	4
Linyi	linyi|lini	CN	35.063	118.343	69
Baoding	baoding|baodin	CN	38.873	115.462	15
Kaohsiung	kaohsiung|gaosyun	TW	22.616	120.313	9
Brooklyn	brooklyn|bruklin	US	40.650	-73.950	15
Guayaquil	guayaquil|guayakil	EC	-2.196	-79.886	14
Belo Horizonte	belo horizonte|belu orizonti	BR	-19.921	-43.938	888
Minhang	minhang	CN	31.109	121.375	12
Bazhong	bazhong|bachzhun	CN	31.869	106.744	393
Salvador	salvador	BR	-12.976	-38.491	4
Jinzhou	jinzhou|tszinchzhou	CN	41.108	121.142	26
Abuja	abuja|abuca|abudzha	NG	9.058	7.495	476
Gazipur	gazipur	BD	23.998	90.422	12
Chicago	chicago|cikaqo|sikago|chikago	US	41.850	-87.650	179
Wenzhou	wenzhou|venchzhou	CN	27.999	120.667	10
Bekasi	bekasi	ID	-6.235	106.990	18
Dakar	dakar	SN	14.694	-17.444	12
Haiphong	haiphong|hayfon	VN	20.865	106.683	12
Yunfu	yunfu	CN	22.928	112.038	67
Navi Mumbai	navi mumbai	IN	19.037	73.016	14
Mogadishu	mogadishu|moqadiso|mogadisu|mogadisho	SO	2.037	45.344	12
Kumasi	kumasi	GH	6.688	-1.624	270
Bandung	bandung|bandunq	ID	-6.922	107.607	714
Gujranwala	gujranwala|qucranvala|gayranvala	PK	32.156	74.187	230
Medan	medan	ID	3.583	98.667	26
Lucknow	lucknow|lakhnau	IN	26.839	80.923	126
Xining	xining|sinin	CN	36.626	101.757	2275
Ouagadougou	ouagadougou|uaqaduqu|uagadugu	BF	12.366	-1.534	299
Nagpur	nagpur	IN	21.146	79.085	319
Fortaleza	fortaleza	BR	-3.717	-38.543	18
Cali	cali|kali	CO	3.431	-76.520	758
Tieling	tieling|telin	CN	42.293	123.841	64
Perth	perth|pert	AU	-31.952	115.861	34
Daegu	daegu|tegu	KR	35.870	128.591	45
Algiers	algiers|elcezair|cezayir|alzhir	DZ	36.732	3.087	113
Nanchang	nanchang|nancan|nanchan	CN	28.684	115.853	20
Bakı	baki|baku	AZ	40.378	49.892	0
Nagoya	nagoya|naqoya	JP	35.181	136.906	23
Rome	rome|roma|rim	IT	41.892	12.511	20
